"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"44509","AT 2019pkt","01:33:01.742","+20:41:27.30","","","SDSS J013302.03+204132.3","0.18","ALeRCE","","ALeRCE","ZTF19abwrslw","P48 - ZTF-Cam","","1","1","","20.4433","r-ZTF","2019-09-04 10:07:23","ALeRCE","",""
"44508","AT 2019pks","00:07:56.081","+01:33:23.89","","","SDSS J000756.13+013327.2","0.075","ALeRCE","","ALeRCE","ZTF19abwqqyd","P48 - ZTF-Cam","","1","1","","20.149","r-ZTF","2019-09-04 09:37:19","ALeRCE","",""
"44507","AT 2019pkr","00:32:33.741","+19:10:08.47","","","SDSS J003233.00+191012.4","0.082","ALeRCE","","ALeRCE","ZTF19abwqrgd","P48 - ZTF-Cam","","1","1","","20.5716","r-ZTF","2019-09-04 09:36:01","ALeRCE","",""
"44506","AT 2019pkq","00:19:40.695","+15:37:09.69","","","SDSS J001940.59+153709.5","0.083","ALeRCE","","ALeRCE","ZTF19abwqnwm","P48 - ZTF-Cam","","1","1","","18.5351","r-ZTF","2019-09-04 09:32:42","ALeRCE","",""
"44505","AT 2019pkp","22:44:20.046","+33:38:19.71","","","SDSS J224420.24+333821.2","0.058","ALeRCE","","ALeRCE","ZTF19abwqheu","P48 - ZTF-Cam","","1","1","","19.3436","r-ZTF","2019-09-04 09:20:47","ALeRCE","",""
"44504","AT 2019pko","23:02:55.370","+26:24:05.29","","","SDSS J230255.38+262405.2","0.157","ALeRCE","","ALeRCE","ZTF19abwqfoj","P48 - ZTF-Cam","","1","1","","20.2903","r-ZTF","2019-09-04 09:16:48","ALeRCE","",""
"44503","AT 2019pkn","22:24:09.881","+14:39:57.61","","","SDSS J222410.00+143955.5","0.38","ALeRCE","","ALeRCE","ZTF19abwqcuv","P48 - ZTF-Cam","","1","1","","20.3479","r-ZTF","2019-09-04 09:12:49","ALeRCE","",""
"44502","AT 2019pkm","16:10:35.392","+56:16:13.11","","","SDSS J161035.47+561613.6","0.052","ALeRCE","","ALeRCE","ZTF18abjsppx","P48 - ZTF-Cam","","1","1","","18.9836","g-ZTF","2019-09-04 06:55:12","ALeRCE","",""
"44501","AT 2019pkl","22:02:59.073","+23:45:39.22","","","SDSS J220259.15+234541.5","0.072","ALeRCE","","ALeRCE","ZTF19abwmgmi","P48 - ZTF-Cam","","1","1","","20.6333","g-ZTF","2019-09-04 06:42:19","ALeRCE","",""
"44500","AT 2019pkk","16:22:47.081","+51:26:24.91","","","SDSS J162247.09+512625.0","0.055","ALeRCE","","ALeRCE","ZTF18aaqujyc","P48 - ZTF-Cam","","1","1","","19.2607","r-ZTF","2019-09-04 06:20:31","ALeRCE","",""
"44499","AT 2019pkj","15:35:58.954","+54:18:09.97","","","SDSS J153558.97+541810.6","0.046","ALeRCE","","ALeRCE","ZTF18aakjdhr","P48 - ZTF-Cam","","1","1","","18.4439","r-ZTF","2019-09-04 06:19:49","ALeRCE","",""
"44498","AT 2019pki","01:20:06.977","+35:54:05.26","","","","","ZTF","","ZTF","ZTF19abvhkst","P48 - ZTF-Cam","","1","1","","20.65","g-ZTF","2019-09-01 10:08:30","ZTF_AMPEL_NEW","",""
"44497","AT 2019pkh","02:19:27.423","+34:04:55.20","","","","","ZTF","","ZTF","ZTF19abuzinv","P48 - ZTF-Cam","","1","1","","19.65","r-ZTF","2019-09-01 11:39:35","ZTF_AMPEL_NEW","",""
"44496","AT 2019pkg","00:46:08.034","+09:08:23.27","","","","","ZTF","","ZTF","ZTF18abqlykl","P48 - ZTF-Cam","","1","1","","19.7","r-ZTF","2019-09-04 09:35:21","ZTF_AMPEL_NEW","",""
